bmi,labels,abandoned,merged
0.94,13-Q3,52,355
0.89,13-Q4,77,354
0.89,14-Q1,99,541
0.82,14-Q2,125,551
0.91,14-Q3,100,804
0.8,14-Q4,50,508
0.88,15-Q1,97,938
0.81,15-Q2,59,521
