meantime,labels,mediantime
10.34,13-Q3,0.48
8.44,13-Q4,0.72
8.45,14-Q1,0.75
10.07,14-Q2,0.82
10.23,14-Q3,0.83
14.18,14-Q4,0.9
12.04,15-Q1,0.84
15.02,15-Q2,0.94
