meantime,labels,mediantime
3.17,13-Q3,0.04
4.39,13-Q4,0.05
7.81,14-Q1,0.47
8.1,14-Q2,0.74
7.98,14-Q3,0.41
6.79,14-Q4,0.27
5.51,15-Q1,0.47
6.41,15-Q2,0.52
