bmi,labels,abandoned,merged
0.97,13-Q3,31,339
0.91,13-Q4,25,184
0.92,14-Q1,53,246
0.95,14-Q2,17,180
0.91,14-Q3,12,255
0.89,14-Q4,16,195
0.87,15-Q1,15,242
0.8,15-Q2,6,150
