id,sent,senders
600606,4743,morganfainberg
578760,4317,clarkb
601842,3976,openstack
1,3939,Monty Taylor
18,3376,Thierry Carrez
294,3344,Jeremy Stanley
874,2960,ayoung
85,2809,Lucas Alvares Gomes
49,2779,Sean Dague
597463,2682,jgriffith
863,2565,sdake
335,2437,Matt Riedemann
884,2285,Anita Kuno
1356,2231,Devananda
516,2228,rbtcollins
