commitstopone,orgstopone,commitstoptwo,projects,orgstoptwo
120,Red Hat,67,neutron,HP
134,Mirantis,58,sahara,Red Hat
80,Red Hat,23,ceilometer,Huawei
99,HP,76,horizon,Red Hat
97,Mirantis,86,heat,IBM
157,IBM,68,nova,Red Hat
46,Tesora,27,trove,GlobalLogic
35,Rackspace,22,swift,SwiftStack
38,HP,24,glance,Red Hat
54,Red Hat,31,cinder,SolidFire
101,IBM,84,keystone,Red Hat
