meantime,labels,mediantime
3.76,13-Q3,0.09
4.65,13-Q4,0.07
6.64,14-Q1,0.18
6.85,14-Q2,0.41
6.35,14-Q3,0.85
5.56,14-Q4,0.72
9.77,15-Q1,0.87
9.52,15-Q2,0.76
