bmi,labels,abandoned,merged
0.94,13-Q3,1,43
0.9,13-Q4,17,173
0.91,14-Q1,34,199
0.84,14-Q2,25,156
0.85,14-Q3,32,153
0.83,14-Q4,26,149
0.75,15-Q1,37,174
0.75,15-Q2,68,214
