meantime,labels,mediantime
3.4,13-Q3,0.76
6.67,13-Q4,1.32
6.22,14-Q1,1.06
4.97,14-Q2,1.07
4.06,14-Q3,0.72
8.32,14-Q4,1.25
6.0,15-Q1,0.61
7.49,15-Q2,0.81
