medianpatchsets,labels,meanpatchsets
2.0,13-Q3,3.66
2.0,13-Q4,4.03
2.0,14-Q1,4.27
2.0,14-Q2,4.57
2.0,14-Q3,4.8
2.0,14-Q4,4.71
2.0,15-Q1,4.67
2.0,15-Q2,3.88
