bmi,labels,abandoned,merged
0.84,13-Q3,151,409
0.77,13-Q4,174,457
0.78,14-Q1,194,585
0.71,14-Q2,77,366
0.69,14-Q3,65,412
0.66,14-Q4,44,280
0.71,15-Q1,56,393
0.71,15-Q2,49,288
