medianpatchsets,labels,meanpatchsets
2.0,13-Q3,2.6
2.0,13-Q4,2.71
2.0,14-Q1,3.06
2.0,14-Q2,3.3
2.0,14-Q3,3.65
2.0,14-Q4,3.23
2.0,15-Q1,3.08
2.0,15-Q2,2.86
