commits,id,authors
384,294,Jeremy Stanley
326,62,Doug Hellmann
286,194,Andreas Jaeger
229,2861,David Pursehouse
228,159,Joshua Harlow
193,186,Emilien Macchi
177,625657,Dave Borowitz
145,49,Sean Dague
144,625613,Edwin Kempin
141,80,Davanum Srinivas
