medianpatchsets,labels,meanpatchsets
2.0,13-Q3,3.66
2.0,13-Q4,5.26
3.0,14-Q1,6.0
2.0,14-Q2,5.74
3.0,14-Q3,6.57
3.0,14-Q4,6.13
3.0,15-Q1,5.65
2.0,15-Q2,4.16
