medianpatchsets,labels,meanpatchsets
2.0,13-Q3,4.7
3.0,13-Q4,4.45
3.0,14-Q1,4.47
4.0,14-Q2,6.64
4.0,14-Q3,7.24
4.0,14-Q4,8.71
4.0,15-Q1,8.44
4.0,15-Q2,7.22
