commits,id,authors
562,194,Andreas Jaeger
387,15,James E. Blair
363,294,Jeremy Stanley
284,49,Sean Dague
273,516,rbtcollins
203,477,Armando Migliaccio
203,391,Brant Knudson
195,468,arosen
195,731,Sergey Lukjanov
184,7,Clark Boylan
