medianpatchsets,labels,meanpatchsets
2.0,13-Q3,4.32
3.0,13-Q4,4.82
3.0,14-Q1,6.17
3.0,14-Q2,7.1
4.0,14-Q3,7.23
4.0,14-Q4,7.1
4.0,15-Q1,6.74
2.0,15-Q2,3.9
