meantime,labels,mediantime
0.0,13-Q3,0.0
1.09,13-Q4,0.35
1.88,14-Q1,0.69
0.9,14-Q2,0.18
1.44,14-Q3,0.28
2.07,14-Q4,0.41
1.01,15-Q1,0.22
2.38,15-Q2,0.15
