commits,id,authors
530,1,Monty Taylor
436,15,James E. Blair
296,7,Clark Boylan
294,516,rbtcollins
290,477,Armando Migliaccio
250,419,Salvatore Orlando
242,194,Andreas Jaeger
241,10,Mark McLoughlin
220,294,Jeremy Stanley
218,47,Julien Danjou
