medianpatchsets,labels,meanpatchsets
nan,13-Q3,nan
nan,13-Q4,nan
nan,14-Q1,nan
nan,14-Q2,nan
nan,14-Q3,nan
2.0,14-Q4,3.19
2.0,15-Q1,2.31
2.0,15-Q2,3.09
