bmiits,bmi,timereview,projects
0.71,0.74,4.78,neutron
0.71,0.8,4.51,sahara
0.67,0.77,3.17,ceilometer
0.68,0.7,3.05,horizon
0.74,0.81,2.46,heat
0.48,0.54,11.0,nova
0.64,0.8,3.6,trove
0.68,0.7,4.51,swift
0.48,0.57,6.93,glance
0.79,0.68,5.67,cinder
0.72,0.7,8.09,keystone
