commits,id,authors
531,194,Andreas Jaeger
293,361,Christian Berendt
284,15,James E. Blair
218,294,Jeremy Stanley
195,7,Clark Boylan
179,567,Kevin Benton
171,118,Flavio Percoco
155,1154,Steve Martinelli
153,335,Matt Riedemann
149,159,Joshua Harlow
