medianpatchsets,labels,meanpatchsets
1.0,13-Q3,2.15
1.0,13-Q4,2.05
1.0,14-Q1,2.34
1.0,14-Q2,2.19
1.0,14-Q3,2.15
1.0,14-Q4,2.05
1.0,15-Q1,2.7
2.0,15-Q2,2.58
