bmi,labels,abandoned,merged
0.85,13-Q3,66,211
0.73,13-Q4,76,166
0.87,14-Q1,106,388
0.73,14-Q2,46,187
0.82,14-Q3,86,363
0.63,14-Q4,56,221
0.77,15-Q1,68,408
0.75,15-Q2,67,315
