meantime,labels,mediantime
3.98,13-Q3,0.03
3.99,13-Q4,0.19
2.95,14-Q1,0.15
3.44,14-Q2,0.27
2.51,14-Q3,0.34
2.77,14-Q4,0.4
1.96,15-Q1,0.39
2.49,15-Q2,0.48
