bmi,labels,abandoned,merged
0.89,13-Q3,121,416
0.79,13-Q4,91,364
0.84,14-Q1,152,532
0.81,14-Q2,96,512
0.77,14-Q3,138,599
0.84,14-Q4,86,576
0.84,15-Q1,113,688
0.85,15-Q2,92,786
