commits,id,authors
393,194,Andreas Jaeger
324,15,James E. Blair
242,731,Sergey Lukjanov
239,419,Salvatore Orlando
226,49,Sean Dague
225,477,Armando Migliaccio
205,36,Joe Gordon
186,7,Clark Boylan
186,625613,Edwin Kempin
184,2861,David Pursehouse
