meantime,labels,mediantime
4.19,13-Q3,0.05
5.78,13-Q4,0.04
7.19,14-Q1,0.68
6.18,14-Q2,0.85
7.85,14-Q3,1.01
7.71,14-Q4,0.69
12.56,15-Q1,1.09
12.08,15-Q2,0.72
