medianpatchsets,labels,meanpatchsets
3.0,13-Q3,5.36
3.0,13-Q4,5.68
3.0,14-Q1,5.18
3.0,14-Q2,5.72
2.0,14-Q3,5.48
3.0,14-Q4,5.84
3.0,15-Q1,6.25
3.0,15-Q2,4.98
