medianpatchsets,labels,meanpatchsets
1.0,13-Q3,1.77
1.0,13-Q4,2.09
3.0,14-Q1,4.76
2.0,14-Q2,3.95
3.0,14-Q3,4.58
2.0,14-Q4,4.05
2.0,15-Q1,4.53
2.0,15-Q2,2.87
