metricsnames,netvalues,relativevalues,datasource
commits,69105,4,Gits
closed tickets,14153,30,Tickets
sent emails,41523,6,Mailing Lists
submitted reviews,64539,19,Gerrit
posted questions,5973,343,Askbot
messages,1696590,1,IRC
