occasional,core,labels,regular
449,169,13-Q3,242
430,182,13-Q4,260
560,209,14-Q1,321
553,198,14-Q2,344
641,209,14-Q3,378
550,204,14-Q4,383
663,268,15-Q1,478
601,213,15-Q2,395
