bmi,labels,abandoned,merged
0.83,13-Q3,47,215
0.82,13-Q4,72,245
0.68,14-Q1,89,233
0.63,14-Q2,46,186
0.7,14-Q3,66,438
0.62,14-Q4,37,290
0.73,15-Q1,78,480
0.74,15-Q2,88,413
