labels,opened,closed
13-Q3,3041,1997
13-Q4,2815,1565
14-Q1,3242,2051
14-Q2,2591,1464
14-Q3,3210,2264
14-Q4,2218,1391
15-Q1,2674,1883
15-Q2,2519,1603
