medianpatchsets,labels,meanpatchsets
4.0,13-Q3,6.26
3.0,13-Q4,6.79
3.0,14-Q1,5.97
3.0,14-Q2,6.58
3.0,14-Q3,6.64
3.0,14-Q4,7.09
3.0,15-Q1,7.4
2.0,15-Q2,5.43
