commits,authors
32,John Griffith
26,Victor Stinner
14,Walter A. Boring IV
14,Xing Yang
13,Eric Harney
13,Jay Bryant
12,Mike Perez
11,e0ne
9,Michal Dulko
9,Tom Swanson
