meantime,labels,mediantime
9.68,13-Q3,2.87
14.88,13-Q4,3.92
16.19,14-Q1,5.5
22.32,14-Q2,7.51
24.01,14-Q3,4.75
22.97,14-Q4,3.27
25.58,15-Q1,3.17
16.29,15-Q2,3.05
