bmi,labels,abandoned,merged
0.87,13-Q3,114,460
0.81,13-Q4,99,322
0.82,14-Q1,154,325
0.66,14-Q2,60,174
0.76,14-Q3,114,308
0.77,14-Q4,75,319
0.65,15-Q1,65,363
0.71,15-Q2,94,386
