bmi,labels,abandoned,merged
0.98,13-Q3,40,161
0.86,13-Q4,54,136
0.97,14-Q1,56,512
0.94,14-Q2,29,245
0.82,14-Q3,35,217
0.83,14-Q4,14,125
0.78,15-Q1,28,231
0.92,15-Q2,55,245
