meantime,labels,mediantime
0.42,13-Q3,0.3
6.35,13-Q4,0.96
5.77,14-Q1,1.17
6.77,14-Q2,0.59
2.87,14-Q3,0.35
2.99,14-Q4,0.5
2.02,15-Q1,0.36
3.93,15-Q2,0.47
