medianpatchsets,labels,meanpatchsets
1.0,13-Q3,2.62
4.0,13-Q4,8.09
2.0,14-Q1,6.51
3.0,14-Q2,4.87
3.0,14-Q3,4.85
3.0,14-Q4,4.79
3.0,15-Q1,4.96
2.0,15-Q2,4.21
