medianpatchsets,labels,meanpatchsets
3.5,13-Q3,6.04
3.0,13-Q4,6.38
4.0,14-Q1,6.57
4.0,14-Q2,6.39
4.0,14-Q3,6.45
4.0,14-Q4,6.74
3.0,15-Q1,6.28
3.0,15-Q2,5.48
