bmi,labels,abandoned,merged
0.95,13-Q3,69,439
0.83,13-Q4,66,409
0.87,14-Q1,93,417
0.68,14-Q2,53,297
0.72,14-Q3,53,285
0.74,14-Q4,45,348
0.85,15-Q1,44,395
0.81,15-Q2,37,291
