id,sent,senders
578760,15190,clarkb
600606,10633,morganfainberg
294,10477,Jeremy Stanley
884,10041,Anita Kuno
516,9582,rbtcollins
597951,8715,jroll
18,8185,Thierry Carrez
597342,7687,jeblair
874,6945,ayoung
1,6545,Monty Taylor
1356,5881,Devananda
588929,5664,dhellmann
49,5182,Sean Dague
85,5097,Lucas Alvares Gomes
841,5085,John Dickinson
