meantime,labels,mediantime
7.94,12-Q4,0.12
6.68,13-Q1,0.35
6.98,13-Q2,0.54
6.1,13-Q3,0.44
9.22,13-Q4,0.74
10.02,14-Q1,0.78
9.59,14-Q2,0.8
10.36,14-Q3,0.8
