medianpatchsets,labels,meanpatchsets
2.0,12-Q4,2.82
2.0,13-Q1,3.45
2.0,13-Q2,3.95
2.0,13-Q3,4.45
3.0,13-Q4,5.2
3.0,14-Q1,5.48
3.0,14-Q2,5.78
3.0,14-Q3,5.55
