bmi,timereview,projects
0.65,7.37,neutron
0.91,2.57,sahara
0.8,7.47,ceilometer
0.7,4.75,horizon
0.72,13.53,heat
0.7,14.92,nova
0.69,13.75,trove
0.77,5.16,swift
0.66,5.27,glance
0.81,5.59,cinder
0.82,5.66,keystone
