meantime,labels,mediantime
0.0,12-Q4,0.0
0.27,13-Q1,0.03
1.97,13-Q2,0.05
2.95,13-Q3,0.1
6.81,13-Q4,0.48
6.54,14-Q1,0.74
7.81,14-Q2,0.58
5.25,14-Q3,0.74
