medianpatchsets,labels,meanpatchsets
2.0,12-Q4,2.53
2.0,13-Q1,2.86
2.0,13-Q2,3.4
2.0,13-Q3,3.29
2.0,13-Q4,3.2
2.0,14-Q1,3.67
2.5,14-Q2,4.34
2.0,14-Q3,4.05
