bmi,labels,abandoned,merged
0.86,12-Q4,30,162
0.87,13-Q1,40,178
0.92,13-Q2,34,141
0.84,13-Q3,58,202
0.92,13-Q4,72,191
0.9,14-Q1,110,319
0.84,14-Q2,77,199
0.76,14-Q3,51,222
