meantime,labels,mediantime
6.41,12-Q4,0.57
6.09,13-Q1,0.99
8.44,13-Q2,1.08
5.48,13-Q3,1.15
7.37,13-Q4,1.81
5.26,14-Q1,0.82
6.15,14-Q2,1.04
4.92,14-Q3,1.0
