commits,id,authors
364,194,Andreas Jaeger
228,49,Sean Dague
161,361,Christian Berendt
154,7,Clark Boylan
144,159,Joshua Harlow
121,335,Matt Riedemann
116,391,Brant Knudson
114,36,Joe Gordon
109,15,James E. Blair
100,731,Sergey Lukjanov
