commits,id,authors
431,15,James E. Blair
413,1,Monty Taylor
286,516,rbtcollins
284,7,Clark Boylan
241,194,Andreas Jaeger
217,294,Jeremy Stanley
217,10,Mark McLoughlin
180,36,Joe Gordon
175,731,Sergey Lukjanov
171,477,Armando Migliaccio
