commits,contributors,projects
61,Ihar Hrachyshka,neutron
38,Vitaly Gridnev,sahara
37,Gordon Chung,ceilometer
25,masco,horizon
74,Angus Salkeld,heat
49,Davanum Srinivas,nova
5,Petr Malik,trove
21,Alistair Coles,swift
10,Sabari Kumar Murugesan,glance
26,John Griffith,cinder
70,Brant Knudson,keystone
