bmiits,bmi,timereview,projects
0.63,0.71,4.53,neutron
0.81,0.79,3.12,sahara
0.69,0.81,3.89,ceilometer
0.62,0.73,3.17,horizon
0.83,0.79,5.05,heat
0.6,0.64,14.07,nova
0.71,0.8,7.38,trove
0.37,0.69,2.13,swift
0.63,0.71,11.76,glance
0.59,0.61,5.31,cinder
0.63,0.73,6.52,keystone
