commits,id,authors
132,159,Joshua Harlow
111,335,Matt Riedemann
110,1154,Steve Martinelli
96,49,Sean Dague
84,342,Ihar Hrachyshka
82,36,Joe Gordon
81,1627,Marton Kiss
78,62,Doug Hellmann
70,361,Christian Berendt
68,954,Angus Salkeld
