meantime,labels,mediantime
6.25,13-Q2,0.3
8.94,13-Q3,0.3
7.34,13-Q4,0.24
8.66,14-Q1,0.45
9.9,14-Q2,0.83
11.48,14-Q3,0.79
15.16,14-Q4,0.94
20.49,15-Q1,0.98
