bmi,labels,abandoned,merged
0.9,13-Q2,44,135
0.82,13-Q3,42,193
0.79,13-Q4,40,151
0.82,14-Q1,53,159
0.76,14-Q2,87,110
0.77,14-Q3,45,118
0.64,14-Q4,12,81
0.69,15-Q1,13,95
