occasional,core,labels,regular
294,130,13-Q2,214
388,159,13-Q3,234
371,170,13-Q4,249
482,182,14-Q1,310
456,172,14-Q2,322
538,182,14-Q3,355
438,179,14-Q4,330
425,177,15-Q1,379
