labels,opened,closed
13-Q2,2284,1358
13-Q3,3552,2227
13-Q4,3347,1854
14-Q1,3911,2453
14-Q2,3168,1797
14-Q3,3807,2645
14-Q4,2700,1657
15-Q1,2437,1617
