meantime,labels,mediantime
6.72,13-Q2,0.12
4.23,13-Q3,0.17
6.03,13-Q4,0.33
6.54,14-Q1,0.79
10.62,14-Q2,1.11
10.3,14-Q3,1.23
19.82,14-Q4,2.11
17.38,15-Q1,0.81
