commits,id,authors
386,194,Andreas Jaeger
303,15,James E. Blair
232,731,Sergey Lukjanov
214,49,Sean Dague
165,36,Joe Gordon
160,7,Clark Boylan
148,419,Salvatore Orlando
144,294,Jeremy Stanley
139,477,Armando Migliaccio
128,1,Monty Taylor
