meantime,labels,mediantime
9.32,13-Q2,0.05
4.19,13-Q3,0.15
4.78,13-Q4,0.09
5.22,14-Q1,0.46
6.53,14-Q2,0.68
8.29,14-Q3,0.75
9.51,14-Q4,0.82
8.76,15-Q1,0.78
