commits,id,authors
389,194,Andreas Jaeger
295,49,Sean Dague
279,7,Clark Boylan
243,342,Ihar Hrachyshka
225,567,Kevin Benton
215,1,Monty Taylor
199,15,James E. Blair
186,361,Christian Berendt
171,294,Jeremy Stanley
159,159,Joshua Harlow
